title,sell_price,orig_price,rating,num_ratings
"Hisense 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with 102W JBL 6 Speakers, Dolby Vision and ...","₹44,990","₹69,990",4,37 Ratings & 8 Reviews
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8,"13,195 Ratings & 1,891 Reviews"
Dyanora Sigma 108 cm (43 inch) Full HD LED Smart Linux TV with 40 Watt Box Speakers & Bezel-Less Desig...,"₹14,499","₹29,999",3.8,70 Ratings & 8 Reviews
Mi 5X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 40W Dolby Atmos,"₹40,999","₹59,999",4.3,"48,763 Ratings & 4,460 Reviews"
Blaupunkt Cybersound 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 60W Speaker...,"₹29,290","₹47,999",4.6,"4,574 Ratings & 1,168 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, (1GB RA...","₹6,999","₹12,999",4.1,"3,789 Ratings & 488 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","₹5,599","₹10,999",4.1,"3,789 Ratings & 488 Reviews"
Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV with Bezel Less Display,"₹10,999","₹15,499",4.3,"7,923 Ratings & 1,783 Reviews"
iFFALCON by TCL U62 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV,"₹28,999","₹49,990",4.4,134 Ratings & 22 Reviews
iFFALCON by TCL H72 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV Hands Free Voice Control & Wo...,"₹36,999","₹1,13,990",4.3,307 Ratings & 53 Reviews
Nokia 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹39,999","₹70,000",4.3,"1,355 Ratings & 181 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...","₹6,599","₹12,499",4.1,"3,789 Ratings & 488 Reviews"
"Dyanora 108 cm (43 inch) Full HD LED Smart Android Based TV with Noise Reduction, Android 9.0, Google ...","₹15,999","₹32,999",4.1,"3,789 Ratings & 488 Reviews"
SAMSUNG 7 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,"₹35,449","₹54,900",4.4,14 Ratings & 0 Reviews
Thomson OATHPRO Max 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 40W Speakers,"₹25,250","₹39,999",4.5,"27,887 Ratings & 7,261 Reviews"
,,,,
,,,,
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649","₹18,999",3.8,"13,195 Ratings & 1,891 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8,"13,195 Ratings & 1,891 Reviews"
Mi Q1 138.8 cm (55 inch) QLED Ultra HD (4K) Smart Android TV Dolby Vision & 30W Dolby Audio,"₹59,999",,4.4,"4,994 Ratings & 655 Reviews"
SAMSUNG 7 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,"₹35,449","₹54,900",4.4,14 Ratings & 0 Reviews
acer Frameless 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with 30W Soundbar | upgradable to A...,"₹25,999","₹34,990",4.4,"6,747 Ratings & 1,136 Reviews"
SAMSUNG BU8000B 109.22 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,"₹41,499","₹62,990",5,5 Ratings & 2 Reviews
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,799","₹12,999",3.8,"13,195 Ratings & 1,891 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8,"13,195 Ratings & 1,891 Reviews"
TOSHIBA V35KP 80 cm (32 inch) HD Ready LED Smart Android TV with DTS Virtual X (2022 Model),"₹13,990","₹24,990",4.4,"1,152 Ratings & 225 Reviews"
Compaq 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV,"₹25,999","₹43,999",4.2,347 Ratings & 74 Reviews
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8,"13,195 Ratings & 1,891 Reviews"
"Dyanora 80 cm (32 inch) HD Ready LED Smart Android TV with Noise Reduction, Android 9.0, Powerful Audi...","₹8,699","₹18,999",4.1,"3,789 Ratings & 488 Reviews"
LG 80 cm (32 inch) Full HD LED Smart WebOS TV,"₹18,299","₹30,490",3.8,4 Ratings & 2 Reviews
Blaupunkt Cyber Sound 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos & Dolby Vis...,"₹53,530","₹75,999",4.6,"4,574 Ratings & 1,168 Reviews"
realme 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Handsfree Voice Search and Dolby Visio...,"₹31,999","₹42,999",4.3,"31,892 Ratings & 3,642 Reviews"
SONY Bravia 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Google TV,"₹48,800","₹69,900",4.6,33 Ratings & 6 Reviews
"Dyanora 108 cm (43 inch) Full HD LED Smart Android Based TV with Noise Reduction, Android 9.0, Google ...","₹15,999","₹32,999",4.1,"3,789 Ratings & 488 Reviews"
"Dyanora 80 cm (32 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","₹7,399","₹15,999",4.1,"3,789 Ratings & 488 Reviews"
PHILIPS 8200 Series 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,"₹39,999","₹79,990",4.2,185 Ratings & 30 Reviews
iFFALCON by TCL 79.97 cm (32 inch) HD Ready LED TV,"₹8,499","₹18,990",4.2,"1,472 Ratings & 143 Reviews"
"Dyanora 100 cm (40 inch) HD Ready LED Smart Android Based TV with Noise Reduction,Android 9.0,Google V...","₹13,899","₹23,999",4.1,"3,789 Ratings & 488 Reviews"
"Dyanora 109 cm (43 inch) Full HD LED Smart Android TV with Noise Reduction, Android 9.0, Google Voice ...","₹16,649","₹32,999",4.1,"3,789 Ratings & 488 Reviews"
LG 108 cm (43 inch) Full HD LED Smart WebOS TV,"₹28,990","₹40,990",4.4,"8,009 Ratings & 692 Reviews"
iFFALCON by TCL F53 100 cm (40 inch) Full HD LED Smart Android TV with Android 11,"₹18,999","₹36,990",4.2,911 Ratings & 112 Reviews
,,,,
,,,,
Nokia 127 cm (50 inch) Ultra HD 4K QLED Smart Android TV with Sound by JBL and Powered by Harman Audio...,"₹38,999","₹69,999",4.3,"2,460 Ratings & 407 Reviews"
KODAK 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,"₹40,999","₹59,999",4.7,348 Ratings & 86 Reviews
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649","₹18,999",3.8,"13,195 Ratings & 1,891 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8,"13,195 Ratings & 1,891 Reviews"
TOSHIBA C350LP 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV,"₹40,990","₹54,990",4.3,169 Ratings & 40 Reviews
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8,"13,195 Ratings & 1,891 Reviews"
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,799","₹12,999",3.8,"13,195 Ratings & 1,891 Reviews"
BeethoSOL 80 cm (32 inch) HD Ready LED Smart Android TV,"₹7,499","₹19,000",3.9,236 Ratings & 24 Reviews
SAMSUNG 7 125 cm (50 inch) Ultra HD (4K) LED Smart Tizen TV,"₹46,690","₹69,900",5,5 Ratings & 0 Reviews
TOSHIBA L50 Series 108 cm (43 inch) Full HD LED Smart VIDAA TV with ADS Panel,"₹19,999","₹31,990",4.3,690 Ratings & 74 Reviews
LG 139 cm (55 inch) OLED Ultra HD (4K) Smart WebOS TV,"₹94,999","₹2,19,990",4.6,331 Ratings & 53 Reviews
Coocaa Frameless 108 cm (43 inch) Full HD LED Smart Google TV with HDR 14 Dolby Audio and Eye care tec...,"₹18,999","₹54,990",4.2,26 Ratings & 5 Reviews
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8,"13,195 Ratings & 1,891 Reviews"
BeethoSOL 60 cm (24 inch) HD Ready LED TV,"₹5,299","₹15,000",3.9,236 Ratings & 24 Reviews
KODAK CA Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & DTS TruS...,"₹29,999","₹47,999",4.5,"19,396 Ratings & 5,774 Reviews"
"Coocaa 138 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Google Assistant, HDR 10 and Dolby Aud...","₹32,999","₹73,990",4.3,"2,816 Ratings & 630 Reviews"
"Dyanora 108 cm (43 inch) Full HD LED Smart Android Based TV with Noise Reduction, Android 9.0, Google ...","₹15,999","₹32,999",4.1,"3,789 Ratings & 488 Reviews"
